entry_time,exit_time,side,mode,entry,exit,pnl,reason
2025-12-02 20:29:46.161944,2025-10-11 13:26:00,SHORT,SNIPER_FVG,240.27,240.5,-0.651819999999971,STOP_LOSS
2025-12-02 20:29:46.162465,2025-10-11 15:02:00,SHORT,SNIPER_FVG,240.24,236.6364,10.2053952,TAKE_PROFIT
2025-12-02 20:29:46.157915,2025-10-11 15:11:00,LONG,TREND_FOLLOWING,240.6,235.78799999999998,-9.075432000000022,STOP_LOSS
2025-12-02 20:29:46.160648,2025-10-11 15:11:00,LONG,SCALP_BB,239.46,235.8681,-3.405121200000009,STOP_LOSS
2025-12-02 20:29:46.180229,2025-10-11 15:22:00,SHORT,TREND_FOLLOWING,235.73,232.19404999999998,6.785488050000027,TAKE_PROFIT
2025-12-02 20:29:46.183083,2025-10-11 15:54:00,SHORT,TREND_FOLLOWING,233.34,229.8399,6.8356953000000065,TAKE_PROFIT
2025-12-02 20:29:46.187595,2025-10-11 16:34:00,SHORT,TREND_FOLLOWING,229.73,226.28404999999998,6.888454050000021,TAKE_PROFIT
2025-12-02 20:29:46.195175,2025-10-11 16:46:00,SHORT,SNIPER_FVG,226.18,226.48,-0.9203999999999477,STOP_LOSS
2025-12-02 20:29:46.196006,2025-10-11 17:06:00,SHORT,SNIPER_FVG,227.46,224.0481,10.39947120000001,TAKE_PROFIT
2025-12-02 20:29:46.201035,2025-10-11 17:18:00,SHORT,SNIPER_FVG,225.82,226.48,-2.0492999999999895,STOP_LOSS
2025-12-02 20:29:46.200785,2025-10-11 17:24:00,SHORT,TREND_FOLLOWING,224.8,229.29600000000002,-9.34718400000002,STOP_LOSS
2025-12-02 20:29:46.202054,2025-10-11 17:24:00,SHORT,SNIPER_FVG,227.61,229.06,-4.4572999999999645,STOP_LOSS
2025-12-02 20:29:46.203070,2025-10-11 17:37:00,SHORT,SNIPER_FVG,228.75,229.06,-0.9340300000000068,STOP_LOSS
2025-12-02 20:29:46.206037,2025-10-11 17:46:00,SHORT,SNIPER_FVG,228.6,229.06,-1.385520000000024,STOP_LOSS
2025-12-02 20:29:46.204022,2025-10-11 18:38:00,SHORT,TREND_FOLLOWING,227.26,231.80519999999999,-9.190394399999986,STOP_LOSS
2025-12-02 20:29:46.222155,2025-10-11 20:52:00,SHORT,SCALP_BB,232.94,229.4459,3.4032534000000028,TAKE_PROFIT
2025-12-02 20:29:46.233370,2025-10-11 20:59:00,SHORT,TREND_FOLLOWING,231.67,228.19494999999998,6.80762295000002,TAKE_PROFIT
2025-12-02 20:29:46.237289,2025-10-11 21:06:00,SHORT,SNIPER_FVG,228.64,229.06,-1.2642000000000477,STOP_LOSS
2025-12-02 20:29:46.237753,2025-10-11 21:07:00,SHORT,SNIPER_FVG,229.06,229.06,0.0,STOP_LOSS
2025-12-02 20:29:46.237922,2025-10-11 21:09:00,SHORT,SNIPER_FVG,229.06,229.06,0.0,STOP_LOSS
